"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Department of Justice","015-2020/2020-0200-000","Salaries and Expenses, Federal Bureau of Investigation, Justice","015-0200","National Defense",20000000,13251030.1,6748969.9,-344302.26,"N","No","3"
"Department of Justice","015-2020/2020-0322-000","Salaries and Expenses, United States Attorneys, Justice","015-0322","Administration of Justice",3000000,0,3000000,0,"N","No","3"
"Department of Justice","015-2020/2020-0324-000","Salaries and Expenses, United States Marshals Service, Justice","015-0324","Administration of Justice",15000000,10284738.66,4715261.34,-1001104.51,"N","No","3"
"Department of Justice","015-X-0328-000","Office of Inspector General, Justice","015-0328","Administration of Justice",2000000,1716273.11,283726.89,-1660900.54,"N","No","3"
"Department of Justice","015-X-0404-000","State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice","015-0404","Administration of Justice",850000000,847715565,2284435,-297179406.58,"N","No","3"
"Department of Justice","015-2020/2020-1060-000","Salaries and Expenses, Federal Prison System, Justice","015-1060","Administration of Justice",0,100000000,-100000000,-65442805.88,"N","No","3"
"Department of Justice","015-2020/2020-1100-000","Salaries and Expenses, Drug Enforcement Administration, Justice","015-1100","Administration of Justice",15000000,8795395.33,6204604.67,-6566328.5,"N","No","3"
"Department of Labor","016-X-0106-000","Office of the Inspector General, Departmental Management, Labor","016-0106","Education, Training, Employment, and Social Services",25000000,702356.34,24297643.66,-108976.18,"O","No","3"
"Department of Labor","016-2020/2022-0143-000","Salaries and Expenses, Wage and Hour Division, Labor","016-0143","Education, Training, Employment, and Social Services",2500000,1250000,1250000,0,"N","No","3"
"Department of Labor","016-2020/2022-0165-000","Salaries and Expenses, Departmental Management, Labor","016-0165","Education, Training, Employment, and Social Services",1000000,104997.14,895002.86,-25347.32,"N","No","3"
"Department of Labor","016-X-0106-000","Office of the Inspector General, Departmental Management, Labor","016-0106","Education, Training, Employment, and Social Services",1000000,0,1000000,0,"N","No","3"
"Department of Labor","016-2020/2022-0172-000","Program Administration, Employment and Training Administration, Labor","016-0172","Education, Training, Employment, and Social Services",4000000,54317.12,3945682.88,0,"N","No","3"
"Department of Labor","016-2020/2022-0174-000","Training and Employment Service, Employment and Training Administration, Labor","016-0174","Education, Training, Employment, and Social Services",345000000,248249950,96750050,-2889473.09,"N","No","3"
"Department of Labor","016-2020/2022-0400-000","Salaries and Expenses, Occupational Safety and Health Administration","016-0400","Health",5500000,3349922.75,2150077.25,0,"N","No","3"
"Department of Labor","016-X-0168-000","Short Time Compensation Programs, Employment and Training Administration, Labor","016-0168","Income Security",1287750000,0,1287750000,0,"O","No","3"
"Department of Labor","016-2020/2022-1700-000","Salaries and Expenses, Employee Benefits Security Administration, Labor","016-1700","Income Security",1000000,180167.73,819832.27,-423.35,"N","No","3"
"Department of Labor","016-X-1801-000","Federal Unemployment Compensation Program, Employment and Training Administration, Labor","016-1801","Income Security",292600000000,247680814229.45,44919185770.55,-244888057261.85,"O","No","3"
"Department of Labor","016-X-8042-000","Unemployment Trust Fund - Treasury Managed, Labor","016-8042","Income Security",80570000000,53528417905.6,27041582094.4,-51870517911.9,"O","No","3"
"Department of State","019-X-1143-000","Migration and Refugee Assistance, State","019-1143","International Affairs",350000000,345956418.23,4043581.77,-263859497.45,"N","No","3"
"Department of State","019-2020/2022-1031-000","Global Health Programs, State","019-1031","International Affairs",0,0,0,0,"L","No","1"
"Department of State","019-072-2020/2022-1037-000","Economic Support Fund, Funds Appropriated to the President","072-1037","International Affairs",2000000,0,2000000,0,"L","No","1"
"Department of State","019-2020/2022-0113-000","Diplomatic and Consular Programs, State","019-0113","International Affairs",183000000,112793957.63,70206042.37,-45978781.34,"L","No","1"
"Department of State","019-2020/2022-0113-000","Diplomatic and Consular Programs, State","019-0113","International Affairs",204000000,42342434.74,161657565.26,-32731217.17,"N","No","3"
"Department of State","019-X-1031-000","Global Health Programs, State","019-1031","International Affairs",0,0,0,0,"L","No","1"
"Department of State","019-X-5713-000","Consular and Border Security Programs, Administration of Foreign Affairs, State","019-5713","International Affairs",81000000,70536583.22,10463416.78,-66194750.05,"L","No","1"
"Department of State","019-X-5713-000","Consular and Border Security Programs, Administration of Foreign Affairs, State","019-5713","International Affairs",120000000,119219588.3,780411.7,-119178703.51,"N","No","3"
"Department of the Interior","014-2020/2021-0102-000","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",144865000,2165940.33,142699059.67,-779864.25,"N","No","3"
"Department of the Interior","014-2020/2021-0104-000","Salaries and Expenses, Office of the Inspector General, Interior","014-0104","Natural Resources and Environment",1000000,382833.54,617166.46,-324636.54,"N","No","3"
"Department of the Interior","014-2020/2021-0412-000","Assistance to Territories, Insular Affairs, Interior","014-0412","General Government",55000000,42627375,12372625,-1338268.9,"N","No","3"
"Department of the Interior","014-2020/2021-0680-000","Water and Related Resources, Bureau of Reclamation, Interior","014-0680","Natural Resources and Environment",12000000,1068125.09,10931874.91,-902314.81,"N","No","3"
"Department of the Interior","014-2020/2021-0787-000","Central Utah Project Completion Account, Central Utah Project, Interior","014-0787","Natural Resources and Environment",500000,0,500000,0,"N","No","3"
"Department of the Interior","014-2020/2021-2100-000","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","014-2100","Community and Regional Development",453000000,397136256.29,55863743.71,-357186405.53,"N","No","3"
"Department of the Interior","014-2020/2021-2106-000","Operation of Indian Education Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","014-2106","Education, Training, Employment, and Social Services",222750000,150864894.51,71885105.49,-137655251.6,"N","No","3"
"Department of the Interior","014-2020/2021-5065-000","Policy and Administration, Bureau of Reclamation, Interior","014-5065","Natural Resources and Environment",8100000,1668009.62,6431990.38,-1348622.62,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-011","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",3753000,882553.56,2870446.44,-602939.13,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-016","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",3585000,714741.86,2870258.14,-503663.41,"N","No","3"
"Department of the Interior","014-075-2020/2021-1515-020","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services","075-1515","Income Security",33461097,33152935,308162,-32375757.75,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-007","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",5197000,1505938.05,3691061.95,-1113801.66,"N","No","3"
"Department of the Interior","014-075-2020/2021-1536-020","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","075-1536","Education, Training, Employment, and Social Services",679682,679682,0,-679682,"N","No","3"
"Department of the Treasury","020-2020/2022-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",0,0,0,0,"M","No","2"
"Department of the Treasury","020-2020/2020-0501-000","Payment to the Legal Services Corporation, Legal Services Corporation","020-0501","Administration of Justice",50000000,50000000,0,-50000000,"N","No","3"
"Department of the Treasury","020-X-1894-000","Air Carrier Worker Support, Departmental Offices, Department of Treasury","020-1894","Transportation",32000000000,27181924544.85,4818075455.15,-26223911370.48,"O","Yes","3"
"Department of the Treasury","020-X-0905-000","U.S. Coronavirus Payments, Internal Revenue Service, Treasury","020-0905","Income Security",282000000000,273492096689.07,8507903310.93,-273492096689.07,"O","No","3"
"Department of the Treasury","020-2020/2021-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",59400000,33238394.28,26161605.72,-33238394.28,"N","No","3"
"Department of the Treasury","020-2020/2021-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",299793520,84581830.43,215211689.57,-34088889.44,"O","No","3"
"Department of the Treasury","020-2020/2021-0151-000","Public Broadcasting Fund, Corporation for Public Broadcasting, Treasury","020-0151","Education, Training, Employment, and Social Services",75000000,75000000,0,-75000000,"N","No","3"
"Department of the Treasury","020-2020/2021-0913-000","Enforcement, Internal Revenue Service","020-0913","Administration of Justice",42000000,904890.32,41095109.68,-904890.32,"N","No","3"
"Department of the Treasury","020-2020/2021-0913-000","Enforcement, Internal Revenue Service","020-0913","Administration of Justice",49776040,0,49776040,0,"O","No","3"
"Department of the Treasury","020-2020/2026-1889-000","Economic Stabilization Program Account, Departmental Offices, Treasury","020-1889","Commerce and Housing Credit",499975000000,30447972479.32,469527027520.68,-19180269385.56,"O","Yes","3"
"Department of the Treasury","020-2020/2020-1892-000","Coronavirus Relief Fund, Departmental Offices, Treasury","020-1892","General Government",150000000000,149465791782.19,534208217.81,-149465791782.19,"O","No","3"
"Department of the Treasury","020-2020/2021-0520-000","Salaries and Expenses, Bureau of the Fiscal Service, Treasury","020-0520","General Government",78650000,11739163.27,66910836.73,-1238061.25,"O","No","3"
"Department of the Treasury","020-X-1802-000","Financial Agent Services, Bureau of the Fiscal Service, Treasury","020-1802","General Government",5560000,3560000,2000000,-2510000,"O","No","3"
"Department of the Treasury","020-2020/2021-0101-000","Salaries and Expenses, Departmental Offices, Treasury","020-0101","General Government",25000000,61577.23,24938422.77,-38488.68,"O","No","3"
"Department of the Treasury","020-2020/2021-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",148600000,64413651.05,84186348.95,-34332699.64,"N","No","3"
"Department of the Treasury","020-X-1893-000","Special Inspector General for Pandemic Recovery, Treasury","020-1893","Commerce and Housing Credit",25000000,62778.97,24937221.03,-48207.17,"O","No","3"
"Department of the Treasury","020-2020/2021-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",151130440,102300973.47,48829466.53,-71749155.57,"O","No","3"
"Department of the Treasury","020-X-0106-000","Salaries and Expenses, Office of Inspector General, Treasury","020-0106","General Government",35000000,2046759.63,32953240.37,-187629.08,"O","No","3"
"Department of the Treasury","020-X-1771-000","Federal Payment for Emergency Planning and Security Costs in the District of Columbia, Treasury","020-1771","General Government",5000000,5000000,0,-5000000,"N","No","3"
"Department of the Treasury","020-2020/2022-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",15000000,14988400,11600,0,"M","No","2"
"Department of the Treasury","020-X-0936-000","U.S. Coronavirus Refundable Credits, Internal Revenue Service, Treasury","020-0936","Income Security",10000000000,435475568.15,9564524431.85,-435475568.15,"O","No","3"
"Department of Transportation","069-X-1775-000","National Network Grants to the National Railroad Passenger Corporation, Transportation","069-1775","Transportation",526000000,526000000,0,-526000000,"N","No","3"
"Department of Transportation","069-X-1774-000","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation","069-1774","Transportation",492000000,492000000,0,-492000000,"N","No","3"
"Department of Transportation","069-X-0102-000","Salaries and Expenses, Office of the Secretary, Transportation","069-0102","Transportation",1753000,1649151,103849,-1504794.75,"N","No","3"
"Department of Transportation","069-X-2812-000","Transit Infrastructure Grants, Federal Transit Administration, Transportation","069-2812","Transportation",25000000000,21519433523,3480566477,-8286147953,"N","No","3"
"Department of Transportation","069-X-5423-000","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation","069-5423","Transportation",56000000,0,56000000,0,"N","No","3"
"Department of Transportation","069-X-8106-000","Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation","069-8106","Transportation",10000000000,8751856626.66,1248143373.34,-1582845826.07,"N","No","3"
"Department of Transportation","069-2020/2021-1750-000","Operations and Training, Maritime Administration, Transportation","069-1750","Transportation",3134000,2884306.54,249693.46,-1159943.66,"N","No","3"
"Department of Transportation","069-X-0130-000","Salaries and Expenses, Office of the Inspector General, Transportation","069-0130","Transportation",5000000,0,5000000,0,"N","No","3"
"Department of Transportation","069-2020/2021-0700-000","Safety and Operations, Federal Railroad Administration, Transportation","069-0700","Transportation",250000,220318.61,29681.39,-125818.61,"N","No","3"
"Department of Transportation","069-2020/2021-1712-000","State Maritime Academy Operations, Maritime Administration, Transportation","069-1712","Transportation",1000000,1000000,0,-1000000,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0140-000","Medical Community Care, Veterans Health Administration, Veterans Affairs","036-0140","Veterans Benefits and Services",30000000,30000000,0,-30000000,"M","No","2"
"Department of Veterans Affairs","036-2020/2021-0140-000","Medical Community Care, Veterans Health Administration, Veterans Affairs ","036-0140","Veterans Benefits and Services",2100000000,89505176.41,2010494823.59,-89178950.65,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0167-000","Information Technology Systems, Departmental Administration, Veterans Affairs","036-0167","Veterans Benefits and Services",2150000000,892528080.76,1257471919.24,-373034167.33,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0181-000","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs","036-0181","Veterans Benefits and Services",150000000,0,150000000,0,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0142-000","General Administration, Departmental Administration, Veterans Affairs","036-0142","Veterans Benefits and Services",6000000,1197712.27,4802287.73,-282215.05,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0160-000","Medical Services, Veterans Health Administration, Veterans Affairs","036-0160","Veterans Benefits and Services",30000000,29850675.99,149324.01,-22960317.39,"M","No","2"
"Department of Veterans Affairs","036-2020/2021-0151-000","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs","036-0151","Veterans Benefits and Services",13000000,5060390.96,7939609.04,-4622750.29,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0152-000","Medical Support and Compliance, Veterans Health Administration, Veterans Affairs","036-0152","Veterans Benefits and Services",100000000,46339112.56,53660887.44,-30767507.38,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0160-000","Medical Services, Veterans Health Administration, Veterans Affairs","036-0160","Veterans Benefits and Services",14432000000,2239736100.79,12192263899.21,-1462705478.03,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0162-000","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs","036-0162","Veterans Benefits and Services",606000000,145774074.74,460225925.26,-110393360.81,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0170-000","Office of Inspector General, Departmental Administration, Veterans Affairs","036-0170","Veterans Benefits and Services",12500000,2975327.24,9524672.76,-1661641.24,"N","No","3"
"Election Assistance Commission","525-2020/2020-1651-000","Election Reform Programs, Election Assistance Commission","525-1651","General Government",400000000,400000000,0,-397269514,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0107-000","Science and Technology, Environmental Protection Agency","068-0107","Natural Resources and Environment",2250000,1568759.65,681240.35,-69358.85,"N","No","3"
"Environmental Protection Agency","068-2020/2021-8145-000","Hazardous Substance Superfund, Environmental Protection Agency","068-8145","Natural Resources and Environment",770000,61272.98,708727.02,0,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0108-000","Environmental Programs and Management, Environmental Protection Agency","068-0108","Natural Resources and Environment",3910000,1614489.37,2295510.63,-1614054.9,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0110-000","Buildings and Facilities, Environmental Protection Agency ","068-0110","Natural Resources and Environment",300000,0,300000,0,"N","No","3"
"Federal Communications Commission","027-X-0100-000","Salaries and Expenses, Federal Communications Commission","027-0100","Commerce and Housing Credit",200000000,200000000,0,-6926320.78,"N","No","3"
"General Services Administration","047-X-4549-001","Federal Citizen Services Fund, General Services Administration","047-4549","Commerce and Housing Credit",18650000,8415991.13,10234008.87,-728756.42,"N","No","3"
"General Services Administration","047-X-4540-001","Working Capital Fund, General Services Administration","047-4540","General Government",1500000,782670.83,717329.17,-154686.14,"N","No","3"
"General Services Administration","047-X-4542-001","Federal Buildings Fund, General Services Administration","047-4542","General Government",275000000,16012466.74,258987533.26,-8591135.92,"N","No","3"
"Inst of American Indian & Alaska Native Culture & Arts Development","373-2020/2021-2900-000","Payment to the Institute, Institute of American Indian and Alaska Native Culture and Arts Development","373-2900","Education, Training, Employment, and Social Services",78000,78000,0,-78000,"N","No","3"
"INSTITUTE OF MUSEUM AND LIBRARY SERVICES","474-2020/2021-0301-000","Office of Museum and Library Services: Grants and Administration, Institute of Museum and Library Services ","474-0301","Education, Training, Employment, and Social Services",50000000,30246460,19753540,-2081400.7,"N","No","3"
"John F. Kennedy Center for Performing Arts","033-2020/2021-0302-000","Operations and Maintenance, John F. Kennedy Center for the Performing Arts","033-0302","Education, Training, Employment, and Social Services",25000000,2000000,23000000,-6961210.8,"N","No","3"
"Legislative Branch","005-X-0107-000","Salaries and Expenses, Government Accountability Office","005-0107","General Government",20000000,6738190.14,13261809.86,-6738190.14,"N","No","3"
"National Aeronautics & Space Administration","080-2020/2021-0122-000","Safety, Security and Missions Services, National Aeronautics and Space Administration","080-0122","General Science, Space, and Technology",60000000,26355608.63,33644391.37,-6641780.25,"N","No","3"
"National Archives & Records Administration","088-2020/2021-0300-000","Operating Expenses, National Archives and Records Administration","088-0300","General Government",8100000,3189639.36,4910360.64,-553742.96,"N","No","3"
"NATIONAL ENDOWMENT FOR THE HUMANITIES","418-2020/2021-0200-000","Grants and Administration, National Endowment for the Humanities, National Foundation on the Arts and Humanities ","418-0200","Education, Training, Employment, and Social Services",75000000,66197008,8802992,-18731340.33,"N","No","3"
"NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES","417-2020/2021-0100-000","Grants and Administration, National Endowment for the Arts, National Foundation on the Arts and Humanities","417-0100","Education, Training, Employment, and Social Services",75000000,67516100,7483900,-11825741.16,"N","No","3"
"National Science Foundation","049-2020/2021-0100-000","Research and Related Activities, National Science Foundation","049-0100","General Science, Space, and Technology",70000000,69767303,232697,-6429424.59,"N","No","3"
"National Science Foundation","049-2020/2021-0106-000","Education and Human Resources, National Science Foundation","049-0106","General Science, Space, and Technology",5000000,4999266,734,-382854.3,"N","No","3"
"National Science Foundation","049-2020/2020-0180-000","Agency Operations and Award Management, National Science Foundation","049-0180","General Science, Space, and Technology",1000000,184975.6,815024.4,-742.6,"N","No","3"
"Nuclear Regulatory Commission","031-2020/2021-0200-000","Salaries and Expenses, Nuclear Regulatory Commission","031-0200","Energy",0,1472012.73,-1472012.73,-486589.19,"N","No","3"
"Office of Personnel Management","024-2020/2021-0100-000","Salaries and Expenses, Office of Personnel Management","024-0100","General Government",12100000,10597916.4,1502083.6,-1671772.15,"N","No","3"
"Peace Corps","011-2020/2022-0100-000","Peace Corps, Funds Appropriated to the President","011-0100","International Affairs",88000000,46942156.05,41057843.95,-46635905.92,"N","No","3"
"RAILROAD RETIREMENT BOARD","060-X-0117-000","Railroad Unemployment Insurance Extended Benefits Payments, Railroad Retirement Board","060-0117","Income Security",133416822.2,11987962.34,121428859.86,-9908150.55,"O","No","3"
"RAILROAD RETIREMENT BOARD","060-2020/2021-8237-000","Limitation on Administration, Railroad Retirement Board","060-8237","Income Security",5000000,1023123.42,3976876.58,-206851.93,"N","No","3"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",0,562000000,-562000000,-562000000,"N","Yes","3"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",50000000000,22115716482.45,27884283517.55,-20052676508.35,"P","Yes","3.5"
"Small Business Administration","073-2020/2021-0400-000","Entrepreneurial Development Programs, Small Business Administration","073-0400","Commerce and Housing Credit",265000000,251770781.73,13229218.27,-58013194.5,"O","No","3"
"Small Business Administration","073-2020/2021-0100-000","Salaries and Expenses, Small Business Administration","073-0100","Commerce and Housing Credit",675000000,423239239.22,251760760.78,-291782535.58,"O","No","3"
"Small Business Administration","073-2020/2024-0200-000","Office of Inspector General, Small Business Administration","073-0200","Commerce and Housing Credit",25000000,14692.88,24985307.12,-13974.63,"O","No","3"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",0,20000000,-20000000,-20000000,"L","Yes","1"
"Small Business Administration","073-2020/2021-0500-000","Emergency EIDL Grants, Small Business Administration","073-0500","Commerce and Housing Credit",10000000000,9994209698,5790302,-9976646698,"O","No","3"
"Small Business Administration","073-2020/2021-0100-000","Salaries and Expenses, Small Business Administration","073-0100","Commerce and Housing Credit",2100000000,94924038.29,2005075961.71,0,"P","No","3.5"
"Small Business Administration","073-X-0500-000","Emergency EIDL Grants, Small Business Administration","073-0500","Commerce and Housing Credit",10000000000,9980725153.86,19274846.14,-9763263153.86,"P","No","3.5"
"Smithsonian Institution","033-2020/2021-0100-000","Salaries and Expenses, Smithsonian Institution","033-0100","Education, Training, Employment, and Social Services",7500000,5558079.39,1941920.61,-2853373.07,"N","No","3"
"Social Security Administration","028-2020/2021-8704-000","Salaries and Expenses, Social Security Administration","028-8704","Social Security",38000000,29932770.01,8067229.99,-29932770.01,"O","No","3"
"Social Security Administration","028-2020/2021-8704-000","Salaries and Expenses, Social Security Administration","028-8704","Social Security",300000000,266225579.66,33774420.34,-261781643.36,"N","No","3"
"Small Business Administration","073-2020/2021-1154-000","Business Loans Program Account, Small Business Administration","073-1154","Commerce and Housing Credit",321335000000,251548461709.936,69786538290.064,-244136909437.596,"O","Yes","3.5"
"Small Business Administration","073-2020/2021-1154-000","Business Loans Program Account, Small Business Administration","073-1154","Commerce and Housing Credit",366000000000,286513255592.564,79486744407.436,-278071510586.024,"O","Yes","3"
