"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Department of Justice","015-2020/2020-0324-000","Salaries and Expenses, United States Marshals Service, Justice","015-0324","Administration of Justice",15000000,8387025.15,6612974.85,-825693.59,"N","No","3"
"Department of Justice","015-X-0328-000","Office of Inspector General, Justice","015-0328","Administration of Justice",2000000,1897435.37,102564.63,-1604477.89,"N","No","3"
"Department of Justice","015-X-0404-000","State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice","015-0404","Administration of Justice",850000000,847473509,2526491,-273044372.61,"N","No","3"
"Department of Justice","015-2020/2020-0322-000","Salaries and Expenses, United States Attorneys, Justice","015-0322","Administration of Justice",3000000,0,3000000,0,"N","No","3"
"Department of Justice","015-2020/2020-1060-000","Salaries and Expenses, Federal Prison System, Justice","015-1060","Administration of Justice",0,100000000,-100000000,-54543537.79,"N","No","3"
"Department of Labor","016-X-0106-000","Office of the Inspector General, Departmental Management, Labor","016-0106","Education, Training, Employment, and Social Services",1000000,0,1000000,0,"N","No","3"
"Department of Labor","016-X-0106-000","Office of the Inspector General, Departmental Management, Labor","016-0106","Education, Training, Employment, and Social Services",25000000,73428.63,24926571.37,0,"O","No","3"
"Department of Labor","016-2020/2022-0143-000","Salaries and Expenses, Wage and Hour Division, Labor","016-0143","Education, Training, Employment, and Social Services",2500000,0,2500000,0,"N","No","3"
"Department of Labor","016-X-0168-000","Short Time Compensation Programs, Employment and Training Administration, Labor","016-0168","Income Security",1287750000,0,1287750000,0,"O","No","3"
"Department of Labor","016-2020/2022-0172-000","Program Administration, Employment and Training Administration, Labor","016-0172","Education, Training, Employment, and Social Services",4000000,0,4000000,0,"N","No","3"
"Department of Labor","016-2020/2022-0174-000","Training and Employment Service, Employment and Training Administration, Labor","016-0174","Education, Training, Employment, and Social Services",345000000,238881438,106118562,-1157111.79,"N","No","3"
"Department of Labor","016-2020/2022-0165-000","Salaries and Expenses, Departmental Management, Labor","016-0165","Education, Training, Employment, and Social Services",1000000,43090.45,956909.55,0,"N","No","3"
"Department of Labor","016-2020/2022-0400-000","Salaries and Expenses, Occupational Safety and Health Administration","016-0400","Health",5500000,0,5500000,0,"N","No","3"
"Department of Labor","016-2020/2022-1700-000","Salaries and Expenses, Employee Benefits Security Administration, Labor","016-1700","Income Security",1000000,101.72,999898.28,0,"N","No","3"
"Department of Labor","016-X-1801-000","Federal Unemployment Compensation Program, Employment and Training Administration, Labor","016-1801","Income Security",292600000000,174838666462.35,117761333537.65,-171501651861.29,"O","No","3"
"Department of Labor","016-X-8042-000","Unemployment Trust Fund - Treasury Managed, Labor","016-8042","Income Security",80570000000,34475939912.87,46094060087.13,-32817825119.39,"O","No","3"
"Department of State","019-2020/2022-1031-000","Global Health Programs, State","019-1031","International Affairs",0,0,0,0,"L","No","1"
"Department of State","019-X-1143-000","Migration and Refugee Assistance, State","019-1143","International Affairs",350000000,173470000,176530000,-145676414.79,"N","No","3"
"Department of State","019-2020/2022-0113-000","Diplomatic and Consular Programs, State","019-0113","International Affairs",204000000,24698595.67,179301404.33,-16009124.92,"N","No","3"
"Department of State","019-2020/2022-0113-000","Diplomatic and Consular Programs, State","019-0113","International Affairs",183000000,65459409.92,117540590.08,-33658239.73,"L","No","1"
"Department of State","019-X-1031-000","Global Health Programs, State","019-1031","International Affairs",0,0,0,0,"L","No","1"
"Department of State","019-X-5713-000","Consular and Border Security Programs, Administration of Foreign Affairs, State","019-5713","International Affairs",81000000,67588610.47,13411389.53,-58073122,"L","No","1"
"Department of State","019-072-2020/2022-1037-000","Economic Support Fund, Funds Appropriated to the President","072-1037","International Affairs",2000000,0,2000000,0,"L","No","1"
"Department of State","019-X-5713-000","Consular and Border Security Programs, Administration of Foreign Affairs, State","019-5713","International Affairs",120000000,119200712.24,799287.76,-44178688,"N","No","3"
"Department of the Interior","014-2020/2021-0102-000","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",144865000,2154263.76,142710736.24,-561053.83,"N","No","3"
"Department of the Interior","014-2020/2021-0104-000","Salaries and Expenses, Office of the Inspector General, Interior","014-0104","Natural Resources and Environment",1000000,263981.18,736018.82,-212956.63,"N","No","3"
"Department of the Interior","014-2020/2021-0412-000","Assistance to Territories, Insular Affairs, Interior","014-0412","General Government",55000000,42627375,12372625,-487182,"N","No","3"
"Department of the Interior","014-2020/2021-0680-000","Water and Related Resources, Bureau of Reclamation, Interior","014-0680","Natural Resources and Environment",12000000,691153.23,11308846.77,-553398.5,"N","No","3"
"Department of the Interior","014-2020/2021-0787-000","Central Utah Project Completion Account, Central Utah Project, Interior","014-0787","Natural Resources and Environment",500000,0,500000,0,"N","No","3"
"Department of the Interior","014-2020/2021-2100-000","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","014-2100","Community and Regional Development",453000000,395359424.29,57640575.71,-341270025.13,"N","No","3"
"Department of the Interior","014-2020/2021-2106-000","Operation of Indian Education Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","014-2106","Education, Training, Employment, and Social Services",222750000,90757671.65,131992328.35,-46123957.39,"N","No","3"
"Department of the Interior","014-2020/2021-5065-000","Policy and Administration, Bureau of Reclamation, Interior","014-5065","Natural Resources and Environment",8100000,1645567.87,6454432.13,-1141191.95,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-016","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",3585000,408368.91,3176631.09,-392278.29,"N","No","3"
"Department of the Interior","014-075-2020/2021-1515-020","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services","075-1515","Income Security",33461097,33152935,308162,-30527427,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-007","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",5197000,0,5197000,0,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-011","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",3753000,637321.36,3115678.64,-470760.29,"N","No","3"
"Department of the Interior","014-075-2020/2021-1536-020","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","075-1536","Education, Training, Employment, and Social Services",679682,647596,32086,-124038,"N","No","3"
"Department of the Treasury","020-2020/2022-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",0,0,0,0,"M","No","2"
"Department of the Treasury","020-2020/2020-0501-000","Payment to the Legal Services Corporation, Legal Services Corporation","020-0501","Administration of Justice",50000000,50000000,0,-50000000,"N","No","3"
"Department of the Treasury","020-2020/2021-0520-000","Salaries and Expenses, Bureau of the Fiscal Service, Treasury","020-0520","General Government",78650000,10262124.76,68387875.24,-1158029.42,"O","No","3"
"Department of the Treasury","020-2020/2021-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",293500000,43373722.81,250126277.19,-1376501.15,"O","No","3"
"Department of the Treasury","020-X-1894-000","Air Carrier Worker Support, Departmental Offices, Department of Treasury","020-1894","Transportation",32000000000,26260392875.6,5739607124.4,-22775962395.7,"O","Yes","3"
"Department of the Treasury","020-X-0905-000","U.S. Coronavirus Payments, Internal Revenue Service, Treasury","020-0905","Income Security",282000000000,270746587699.01,11253412300.99,-270746587699.01,"O","No","3"
"Department of the Treasury","020-2020/2021-0151-000","Public Broadcasting Fund, Corporation for Public Broadcasting, Treasury","020-0151","Education, Training, Employment, and Social Services",75000000,75000000,0,-75000000,"N","No","3"
"Department of the Treasury","020-X-1771-000","Federal Payment for Emergency Planning and Security Costs in the District of Columbia, Treasury","020-1771","General Government",5000000,5000000,0,-5000000,"N","No","3"
"Department of the Treasury","020-2020/2021-0913-000","Enforcement, Internal Revenue Service","020-0913","Administration of Justice",42000000,138935.33,41861064.67,-138935.33,"N","No","3"
"Department of the Treasury","020-2020/2021-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",59400000,4105402.07,55294597.93,-4105402.07,"N","No","3"
"Department of the Treasury","020-2020/2026-1889-000","Economic Stabilization Program Account, Departmental Offices, Treasury","020-1889","Commerce and Housing Credit",499975000000,22243229402.54,477731770597.46,-11184732956.33,"O","Yes","3"
"Department of the Treasury","020-2020/2020-1892-000","Coronavirus Relief Fund, Departmental Offices, Treasury","020-1892","General Government",150000000000,149465791782.19,534208217.81,-149465678373.25,"O","No","3"
"Department of the Treasury","020-X-1893-000","Special Inspector General for Pandemic Recovery, Treasury","020-1893","Commerce and Housing Credit",25000000,9881.8,24990118.2,-9270.43,"O","No","3"
"Department of the Treasury","020-X-1802-000","Financial Agent Services, Bureau of the Fiscal Service, Treasury","020-1802","General Government",4060000,2560000,1500000,-1505000,"O","No","3"
"Department of the Treasury","020-2020/2021-0913-000","Enforcement, Internal Revenue Service","020-0913","Administration of Justice",37200000,0,37200000,0,"O","No","3"
"Department of the Treasury","020-2020/2021-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",148600000,46240008.44,102359991.56,-16813605.81,"N","No","3"
"Department of the Treasury","020-X-0936-000","U.S. Coronavirus Refundable Credits, Internal Revenue Service, Treasury","020-0936","Income Security",10000000000,170196966.81,9829803033.19,-170196966.81,"O","No","3"
"Department of the Treasury","020-2020/2021-0101-000","Salaries and Expenses, Departmental Offices, Treasury","020-0101","General Government",25000000,6859.84,24993140.16,-6333.82,"O","No","3"
"Department of the Treasury","020-X-0106-000","Salaries and Expenses, Office of Inspector General, Treasury","020-0106","General Government",35000000,129191.55,34870808.45,-109001.56,"O","No","3"
"Department of the Treasury","020-2020/2021-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",170000000,76532289.35,93467710.65,-48813883.95,"O","No","3"
"Department of the Treasury","020-2020/2022-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",15000000,14988400,11600,0,"M","No","2"
"Department of Transportation","069-2020/2021-0700-000","Safety and Operations, Federal Railroad Administration, Transportation","069-0700","Transportation",250000,185552.13,64447.87,-91052.13,"N","No","3"
"Department of Transportation","069-2020/2021-1750-000","Operations and Training, Maritime Administration, Transportation","069-1750","Transportation",3134000,2386192.04,747807.96,-653144.53,"N","No","3"
"Department of Transportation","069-X-1774-000","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation","069-1774","Transportation",492000000,492000000,0,-492000000,"N","No","3"
"Department of Transportation","069-X-1775-000","National Network Grants to the National Railroad Passenger Corporation, Transportation","069-1775","Transportation",526000000,526000000,0,-526000000,"N","No","3"
"Department of Transportation","069-X-2812-000","Transit Infrastructure Grants, Federal Transit Administration, Transportation","069-2812","Transportation",25000000000,18700450584,6299549416,-5569860043,"N","No","3"
"Department of Transportation","069-X-5423-000","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation","069-5423","Transportation",56000000,0,56000000,0,"N","No","3"
"Department of Transportation","069-X-8106-000","Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation","069-8106","Transportation",10000000000,8500600461.6,1499399538.4,-930984866.39,"N","No","3"
"Department of Transportation","069-X-0102-000","Salaries and Expenses, Office of the Secretary, Transportation","069-0102","Transportation",1753000,1504794.75,248205.25,-1504794.75,"N","No","3"
"Department of Transportation","069-X-0130-000","Salaries and Expenses, Office of the Inspector General, Transportation","069-0130","Transportation",5000000,0,5000000,0,"N","No","3"
"Department of Transportation","069-2020/2021-1712-000","State Maritime Academy Operations, Maritime Administration, Transportation","069-1712","Transportation",1000000,1000000,0,-1000000,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0140-000","Medical Community Care, Veterans Health Administration, Veterans Affairs ","036-0140","Veterans Benefits and Services",2100000000,29815450.87,2070184549.13,-29765481.86,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0142-000","General Administration, Departmental Administration, Veterans Affairs","036-0142","Veterans Benefits and Services",6000000,733843.44,5266156.56,-190337.49,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0167-000","Information Technology Systems, Departmental Administration, Veterans Affairs","036-0167","Veterans Benefits and Services",2150000000,750770997.7,1399229002.3,-114368447.14,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0170-000","Office of Inspector General, Departmental Administration, Veterans Affairs","036-0170","Veterans Benefits and Services",12500000,2491448.78,10008551.22,-1177605.78,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0140-000","Medical Community Care, Veterans Health Administration, Veterans Affairs","036-0140","Veterans Benefits and Services",30000000,30000000,0,-30000000,"M","No","2"
"Department of Veterans Affairs","036-2020/2021-0162-000","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs","036-0162","Veterans Benefits and Services",606000000,53581292.08,552418707.92,-36664923.01,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0160-000","Medical Services, Veterans Health Administration, Veterans Affairs","036-0160","Veterans Benefits and Services",30000000,29848645.23,151354.77,-20813603.63,"M","No","2"
"Department of Veterans Affairs","036-2020/2021-0151-000","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs","036-0151","Veterans Benefits and Services",13000000,4747430.53,8252569.47,-4272054.86,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0181-000","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs","036-0181","Veterans Benefits and Services",150000000,0,150000000,0,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0160-000","Medical Services, Veterans Health Administration, Veterans Affairs","036-0160","Veterans Benefits and Services",14432000000,1811747935.07,12620252064.93,-1050775346.87,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0152-000","Medical Support and Compliance, Veterans Health Administration, Veterans Affairs","036-0152","Veterans Benefits and Services",100000000,39528249.19,60471750.81,-26923877.53,"N","No","3"
"Election Assistance Commission","525-2020/2020-1651-000","Election Reform Programs, Election Assistance Commission","525-1651","General Government",400000000,400000000,0,-397269514,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0108-000","Environmental Programs and Management, Environmental Protection Agency","068-0108","Natural Resources and Environment",3910000,1573517.34,2336482.66,-1367655.49,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0110-000","Buildings and Facilities, Environmental Protection Agency ","068-0110","Natural Resources and Environment",300000,0,300000,0,"N","No","3"
"Environmental Protection Agency","068-2020/2021-8145-000","Hazardous Substance Superfund, Environmental Protection Agency","068-8145","Natural Resources and Environment",770000,48275.57,721724.43,0,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0107-000","Science and Technology, Environmental Protection Agency","068-0107","Natural Resources and Environment",2250000,1548147.86,701852.14,-48418.63,"N","No","3"
"Federal Communications Commission","027-X-0100-000","Salaries and Expenses, Federal Communications Commission","027-0100","Commerce and Housing Credit",200000000,157638964,42361036,-1753053.91,"N","No","3"
"General Services Administration","047-X-4549-001","Federal Citizen Services Fund, General Services Administration","047-4549","Commerce and Housing Credit",18650000,5153417.54,13496582.46,-531895.08,"N","No","3"
"General Services Administration","047-X-4540-001","Working Capital Fund, General Services Administration","047-4540","General Government",1500000,728841.9,771158.1,-70257.36,"N","No","3"
"General Services Administration","047-X-4542-001","Federal Buildings Fund, General Services Administration","047-4542","General Government",275000000,12391796.27,262608203.73,-5963685.43,"N","No","3"
"Inst of American Indian & Alaska Native Culture & Arts Development","373-2020/2021-2900-000","Payment to the Institute, Institute of American Indian and Alaska Native Culture and Arts Development","373-2900","Education, Training, Employment, and Social Services",78000,78000,0,-78000,"N","No","3"
"INSTITUTE OF MUSEUM AND LIBRARY SERVICES","474-2020/2021-0301-000","Office of Museum and Library Services: Grants and Administration, Institute of Museum and Library Services ","474-0301","Education, Training, Employment, and Social Services",50000000,30246460,19753540,-1106323.38,"N","No","3"
"John F. Kennedy Center for Performing Arts","033-2020/2021-0302-000","Operations and Maintenance, John F. Kennedy Center for the Performing Arts","033-0302","Education, Training, Employment, and Social Services",25000000,2000000,23000000,-6961210.8,"N","No","3"
"Legislative Branch","001-2020/2021-0100-000","Capital Construction and Operations, Architect of the Capitol","001-0100","General Government",25000000,23675945.18,1324054.82,-10979573.59,"N","No","3"
"Legislative Branch","002-2020/2021-0477-000","Salaries, Capitol Police","002-0477","General Government",7500000,7500000,0,-7500000,"N","No","3"
"Legislative Branch","003-2020/2020-0101-000","Salaries and Expenses, Library of Congress","003-0101","Education, Training, Employment, and Social Services",700000,339000,361000,-339000,"N","No","3"
"Legislative Branch","005-X-0107-000","Salaries and Expenses, Government Accountability Office","005-0107","General Government",20000000,3593758.01,16406241.99,-3593758.01,"N","No","3"
"National Aeronautics & Space Administration","080-2020/2021-0122-000","Safety, Security and Missions Services, National Aeronautics and Space Administration","080-0122","General Science, Space, and Technology",60000000,26003181.55,33996818.45,-2816624.12,"N","No","3"
"National Archives & Records Administration","088-2020/2021-0300-000","Operating Expenses, National Archives and Records Administration","088-0300","General Government",8100000,3009010.72,5090989.28,-219461.84,"N","No","3"
"NATIONAL ENDOWMENT FOR THE HUMANITIES","418-2020/2021-0200-000","Grants and Administration, National Endowment for the Humanities, National Foundation on the Arts and Humanities ","418-0200","Education, Training, Employment, and Social Services",75000000,46695555.4,28304444.6,-13147422.7,"N","No","3"
"NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES","417-2020/2021-0100-000","Grants and Administration, National Endowment for the Arts, National Foundation on the Arts and Humanities","417-0100","Education, Training, Employment, and Social Services",75000000,29766100,45233900,-6109632.51,"N","No","3"
"National Science Foundation","049-2020/2021-0100-000","Research and Related Activities, National Science Foundation","049-0100","General Science, Space, and Technology",70000000,68611636,1388364,-2593342.56,"N","No","3"
"National Science Foundation","049-2020/2021-0106-000","Education and Human Resources, National Science Foundation","049-0106","General Science, Space, and Technology",5000000,4999266,734,-105391.77,"N","No","3"
"National Science Foundation","049-2020/2020-0180-000","Agency Operations and Award Management, National Science Foundation","049-0180","General Science, Space, and Technology",1000000,0,1000000,0,"N","No","3"
"Nuclear Regulatory Commission","031-2020/2021-0200-000","Salaries and Expenses, Nuclear Regulatory Commission","031-0200","Energy",0,1257215.68,-1257215.68,-349862.24,"N","No","3"
"Office of Personnel Management","024-2020/2021-0100-000","Salaries and Expenses, Office of Personnel Management","024-0100","General Government",12100000,5329523.56,6770476.44,-326051,"N","No","3"
"Peace Corps","011-2020/2022-0100-000","Peace Corps, Funds Appropriated to the President","011-0100","International Affairs",88000000,46775417.3,41224582.7,-46509077.94,"N","No","3"
"RAILROAD RETIREMENT BOARD","060-X-0117-000","Railroad Unemployment Insurance Extended Benefits Payments, Railroad Retirement Board","060-0117","Income Security",133416822.2,10553488.75,122863333.45,-7401803.92,"O","No","3"
"RAILROAD RETIREMENT BOARD","060-2020/2021-8237-000","Limitation on Administration, Railroad Retirement Board","060-8237","Income Security",5000000,832477.43,4167522.57,-166778.17,"N","No","3"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",0,20000000,-20000000,-20000000,"L","Yes","1"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",50000000000,16843100264.36,33156899735.64,-14422483078.09,"P","Yes","3.5"
"Small Business Administration","073-2020/2024-0200-000","Office of Inspector General, Small Business Administration","073-0200","Commerce and Housing Credit",25000000,12642.99,24987357.01,-10792.05,"O","No","3"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",0,562000000,-562000000,-562000000,"N","Yes","3"
"Small Business Administration","073-2020/2021-0100-000","Salaries and Expenses, Small Business Administration","073-0100","Commerce and Housing Credit",675000000,414143807.86,260856192.14,-276865586.12,"O","No","3"
"Small Business Administration","073-X-0500-000","Emergency EIDL Grants, Small Business Administration","073-0500","Commerce and Housing Credit",10000000000,5346606400,4653393600,-5105221400,"P","No","3.5"
"Small Business Administration","073-2020/2021-0400-000","Entrepreneurial Development Programs, Small Business Administration","073-0400","Commerce and Housing Credit",265000000,251344415.73,13655584.27,-57313194.5,"O","No","3"
"Small Business Administration","073-2020/2021-0500-000","Emergency EIDL Grants, Small Business Administration","073-0500","Commerce and Housing Credit",10000000000,9995643398,4356602,-9976545398,"O","No","3"
"Small Business Administration","073-2020/2021-0100-000","Salaries and Expenses, Small Business Administration","073-0100","Commerce and Housing Credit",2100000000,92790200,2007209800,0,"P","No","3.5"
"Smithsonian Institution","033-2020/2021-0100-000","Salaries and Expenses, Smithsonian Institution","033-0100","Education, Training, Employment, and Social Services",7500000,4774566.55,2725433.45,-1729353.19,"N","No","3"
"Social Security Administration","028-2020/2021-8704-000","Salaries and Expenses, Social Security Administration","028-8704","Social Security",300000000,258849532.83,41150467.17,-256430567.47,"N","No","3"
"Social Security Administration","028-2020/2021-8704-000","Salaries and Expenses, Social Security Administration","028-8704","Social Security",38000000,28439949.22,9560050.78,-28346387.57,"O","No","3"
"Small Business Administration","073-2020/2021-1154-000","Business Loans Program Account, Small Business Administration","073-1154","Commerce and Housing Credit",321335000000,249840194222.433,71494805777.5671,-236680144376.982,"O","Yes","3.5"
"Small Business Administration","073-2020/2021-1154-000","Business Loans Program Account, Small Business Administration","073-1154","Commerce and Housing Credit",366000000000,284567541927.927,81432458072.0729,-269578268293.138,"O","Yes","3"
