"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Department of Housing & Urban Development","086-X-0189-000","Office of Inspector General, Management and Administration, Housing and Urban Development","086-0189","Community and Regional Development",5000000,824060.08,4175939.92,-740281.66,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0308-000","Housing Opportunities for Persons with AIDS, Community Planning  and Development, Housing and Urban Development","086-0308","Income Security",55000000,38809367,16190633,-649763.1,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0308-000","Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development","086-0308","Income Security",10000000,9617309,382691,-341642.22,"N","No","3"
"Department of Housing & Urban Development","086-2020/2022-0192-000","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development","086-0192","Income Security",4000000000,1711515618,2288484382,-15052472.78,"N","No","3"
"Department of Housing & Urban Development","086-2020/2023-0237-000","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development","086-0237","Income Security",15000000,5179515,9820485,-4306502,"N","No","3"
"Department of Housing & Urban Development","086-X-0302-000","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development","086-0302","Income Security",1250000000,1093830427,156169573,-1076722794,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0192-000","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development","086-0192","Income Security",72366182,0,72366182,0,"N","No","3"
"Department of Housing & Urban Development","086-X-0303-000","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development","086-0303","Income Security",1000000000,822566121,177433879,-812450422,"N","No","3"
"Department of Justice","015-2020/2020-1060-000","Salaries and Expenses, Federal Prison System, Justice","015-1060","Administration of Justice",0,100000000,-100000000,-82858179.89,"N","No","3"
"Department of Justice","015-2020/2020-1100-000","Salaries and Expenses, Drug Enforcement Administration, Justice","015-1100","Administration of Justice",15000000,12038808.84,2961191.16,-8995472.05,"N","No","3"
"Department of Justice","015-2020/2020-0322-000","Salaries and Expenses, United States Attorneys, Justice","015-0322","Administration of Justice",3000000,3000000,0,-3000000,"N","No","3"
"Department of Justice","015-X-0404-000","State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice","015-0404","Administration of Justice",850000000,847657553.23,2342446.77,-380885059.89,"N","No","3"
"Department of Justice","015-X-0134-000","Justice Information Sharing Technology, General Administration, Justice","015-0134","Administration of Justice",2000000,1999287.37,712.63,-382260.54,"N","No","3"
"Department of Justice","015-2020/2020-0200-000","Salaries and Expenses, Federal Bureau of Investigation, Justice","015-0200","National Defense",20000000,19835534.8,164465.2,-6789218.89,"N","No","3"
"Department of Justice","015-2020/2020-0324-000","Salaries and Expenses, United States Marshals Service, Justice","015-0324","Administration of Justice",15000000,14999924.64,75.36,-1399587.28,"N","No","3"
"Department of Justice","015-X-0328-000","Office of Inspector General, Justice","015-0328","Administration of Justice",2000000,1813589.2,186410.8,-1801477.48,"N","No","3"
"Department of Labor","016-X-0106-000","Office of the Inspector General, Departmental Management, Labor","016-0106","Education, Training, Employment, and Social Services",1000000,468187.99,531812.01,-436541.65,"N","No","3"
"Department of Labor","016-2020/2022-0165-000","Salaries and Expenses, Departmental Management, Labor","016-0165","Education, Training, Employment, and Social Services",1000000,274202.61,725797.39,-230215.47,"N","No","3"
"Department of Labor","016-X-0168-000","Short Time Compensation Programs, Employment and Training Administration, Labor","016-0168","Income Security",686280508,686030508,250000,-266935299.68,"O","No","3"
"Department of Labor","016-X-0106-000","Office of the Inspector General, Departmental Management, Labor","016-0106","Education, Training, Employment, and Social Services",25000000,1135122.97,23864877.03,-379361.05,"O","No","3"
"Department of Labor","016-2020/2022-0143-000","Salaries and Expenses, Wage and Hour Division, Labor","016-0143","Education, Training, Employment, and Social Services",2500000,2500000,0,-2246805.83,"N","No","3"
"Department of Labor","016-2020/2022-0174-000","Training and Employment Service, Employment and Training Administration, Labor","016-0174","Education, Training, Employment, and Social Services",345000000,249591640,95408360,-8396664.64,"N","No","3"
"Department of Labor","016-2020/2022-0400-000","Salaries and Expenses, Occupational Safety and Health Administration","016-0400","Health",5500000,3423589.92,2076410.08,-517604.41,"N","No","3"
"Department of Labor","016-2020/2022-1700-000","Salaries and Expenses, Employee Benefits Security Administration, Labor","016-1700","Income Security",1000000,448026.62,551973.38,-414336.95,"N","No","3"
"Department of Labor","016-2020/2022-0172-000","Program Administration, Employment and Training Administration, Labor","016-0172","Education, Training, Employment, and Social Services",4000000,285273.08,3714726.92,-206559.66,"N","No","3"
"Department of Labor","016-X-8042-000","Unemployment Trust Fund - Treasury Managed, Labor","016-8042","Income Security",78073793160.77,78073793160.77,0,-70183547389.7,"O","No","3"
"Department of Labor","016-X-1801-000","Federal Unemployment Compensation Program, Employment and Training Administration, Labor","016-1801","Income Security",279287178975.68,279287178975.68,0,-275029332514.96,"O","No","3"
"Department of State","019-072-2020/2022-1037-000","Economic Support Fund, Funds Appropriated to the President","072-1037","International Affairs",3700000,3672816.01,27183.99,-38615.8,"L","No","1"
"Department of State","019-X-0209-000","Educational and Cultural Exchange Programs, State","019-0209","International Affairs",5000000,4993154,6846,-2951750.08,"N","No","3"
"Department of State","019-2020/2022-0113-000","Diplomatic and Consular Programs, State","019-0113","International Affairs",127696000,100597583.83,27098416.17,-48410496.63,"N","No","3"
"Department of State","019-X-1031-000","Global Health Programs, State","019-1031","International Affairs",0,0,0,0,"L","No","1"
"Department of State","019-X-5713-000","Consular and Border Security Programs, Administration of Foreign Affairs, State","019-5713","International Affairs",191304000,119214335.06,72089664.94,-119192326.33,"N","No","3"
"Department of State","019-2020/2022-0113-000","Diplomatic and Consular Programs, State","019-0113","International Affairs",182227000,171736226.17,10490773.83,-86055705.55,"L","No","1"
"Department of State","019-X-1143-000","Migration and Refugee Assistance, State","019-1143","International Affairs",350000000,350000000,0,-302039710.26,"N","No","3"
"Department of State","019-X-5713-000","Consular and Border Security Programs, Administration of Foreign Affairs, State","019-5713","International Affairs",81773000,78229764.82,3543235.18,-70642528.53,"L","No","1"
"Department of State","019-2020/2022-1031-000","Global Health Programs, State","019-1031","International Affairs",0,0,0,0,"L","No","1"
"Department of the Interior","014-2020/2021-0102-000","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",144480000,2066896.15,142413103.85,-902572.4,"N","No","3"
"Department of the Interior","014-2020/2021-0104-000","Salaries and Expenses, Office of the Inspector General, Interior","014-0104","Natural Resources and Environment",1000000,623002.3,376997.7,-566520.4,"N","No","3"
"Department of the Interior","014-2020/2021-0412-000","Assistance to Territories, Insular Affairs, Interior","014-0412","General Government",55000000,42627375,12372625,-2783932.09,"N","No","3"
"Department of the Interior","014-2020/2021-0680-000","Water and Related Resources, Bureau of Reclamation, Interior","014-0680","Natural Resources and Environment",12000000,5078463.45,6921536.55,-4979396.11,"N","No","3"
"Department of the Interior","014-2020/2021-0787-000","Central Utah Project Completion Account, Central Utah Project, Interior","014-0787","Natural Resources and Environment",500000,27507,472493,0,"N","No","3"
"Department of the Interior","014-2020/2021-2100-000","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","014-2100","Community and Regional Development",453000000,420174125.7,32825874.3,-380193483.4,"N","No","3"
"Department of the Interior","014-2020/2021-2106-000","Operation of Indian Education Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","014-2106","Education, Training, Employment, and Social Services",222750000,181383968.87,41366031.13,-151720411,"N","No","3"
"Department of the Interior","014-2020/2021-5065-000","Policy and Administration, Bureau of Reclamation, Interior","014-5065","Natural Resources and Environment",8100000,1688992.64,6411007.36,-1688992.64,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-007","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",5317000,1858108.39,3458891.61,-1465212,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-011","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",3753000,1388362.17,2364637.83,-884560.46,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-016","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",3585000,1332135.44,2252864.56,-959538.03,"N","No","3"
"Department of the Interior","014-075-2020/2021-1515-020","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services","075-1515","Income Security",33461097,33461097,0,-33123181.25,"N","No","3"
"Department of the Interior","014-075-2020/2021-1536-020","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","075-1536","Education, Training, Employment, and Social Services",679682,679682,0,-679682,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-001","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",265000,241460,23540,0,"N","No","3"
"Department of the Treasury","020-2020/2020-0501-000","Payment to the Legal Services Corporation, Legal Services Corporation","020-0501","Administration of Justice",50000000,50000000,0,-50000000,"N","No","3"
"Department of the Treasury","020-X-1894-000","Air Carrier Worker Support, Departmental Offices, Department of Treasury","020-1894","Transportation",32000000000,28206066280.17,3793933719.83,-28140858039.56,"O","Yes","3"
"Department of the Treasury","020-2020/2021-0520-000","Salaries and Expenses, Bureau of the Fiscal Service, Treasury","020-0520","General Government",78650000,12587647.17,66062352.83,-4281650.48,"O","No","3"
"Department of the Treasury","020-2020/2021-0101-000","Salaries and Expenses, Departmental Offices, Treasury","020-0101","General Government",25000000,359127.44,24640872.56,-359127.44,"O","No","3"
"Department of the Treasury","020-X-0106-000","Salaries and Expenses, Office of Inspector General, Treasury","020-0106","General Government",35000000,2463761.68,32536238.32,-591572.71,"O","No","3"
"Department of the Treasury","020-2020/2021-0151-000","Public Broadcasting Fund, Corporation for Public Broadcasting, Treasury","020-0151","Education, Training, Employment, and Social Services",75000000,75000000,0,-75000000,"N","No","3"
"Department of the Treasury","020-X-1771-000","Federal Payment for Emergency Planning and Security Costs in the District of Columbia, Treasury","020-1771","General Government",5000000,5000000,0,-5000000,"N","No","3"
"Department of the Treasury","020-X-1802-000","Financial Agent Services, Bureau of the Fiscal Service, Treasury","020-1802","General Government",10360000,10360000,0,-7020000,"O","No","3"
"Department of the Treasury","020-2020/2026-1889-000","Economic Stabilization Program Account, Departmental Offices, Treasury","020-1889","Commerce and Housing Credit",499975000000,31838735480.84,468136264519.16,-19331016941.11,"O","Yes","3"
"Department of the Treasury","020-X-0905-000","U.S. Coronavirus Payments, Internal Revenue Service, Treasury","020-0905","Income Security",274653909767.36,274653909767.36,0,-274653909767.36,"O","No","3"
"Department of the Treasury","020-2020/2021-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",59400000,55400000,4000000,-55400000,"N","No","3"
"Department of the Treasury","020-2020/2021-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",296852505,125157418.99,171695086.01,-62965508.16,"O","No","3"
"Department of the Treasury","020-2020/2021-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",163004111,123862790.91,39141320.09,-96376471.97,"O","No","3"
"Department of the Treasury","020-2020/2022-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",15000000,14988400,11600,-3360399.28,"M","No","2"
"Department of the Treasury","020-X-0936-000","U.S. Coronavirus Refundable Credits, Internal Revenue Service, Treasury","020-0936","Income Security",713759245.66,713759245.66,0,-713759245.66,"O","No","3"
"Department of the Treasury","020-X-1893-000","Special Inspector General for Pandemic Recovery, Treasury","020-1893","Commerce and Housing Credit",25000000,1382063.86,23617936.14,-849732.5,"O","No","3"
"Department of the Treasury","020-2020/2021-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",148600000,110510204.04,38089795.96,-59406233.6,"N","No","3"
"Department of the Treasury","020-2020/2022-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",0,0,0,0,"M","No","2"
"Department of the Treasury","020-2020/2020-1892-000","Coronavirus Relief Fund, Departmental Offices, Treasury","020-1892","General Government",150000000000,150000000000,0,-149466373870.72,"O","No","3"
"Department of the Treasury","020-2020/2021-0913-000","Enforcement, Internal Revenue Service","020-0913","Administration of Justice",40843384,2140473.44,38702910.56,-1997381.44,"O","No","3"
"Department of the Treasury","020-2020/2021-0913-000","Enforcement, Internal Revenue Service","020-0913","Administration of Justice",42000000,6444832.86,35555167.14,-4178688.86,"N","No","3"
"Department of Transportation","069-X-0102-000","Salaries and Expenses, Office of the Secretary, Transportation","069-0102","Transportation",1753000,1752912.28,87.72,-1752912.28,"N","No","3"
"Department of Transportation","069-2020/2021-1750-000","Operations and Training, Maritime Administration, Transportation","069-1750","Transportation",3134000,3040543.56,93456.44,-2333792.62,"N","No","3"
"Department of Transportation","069-X-0130-000","Salaries and Expenses, Office of the Inspector General, Transportation","069-0130","Transportation",5000000,81813.69,4918186.31,-81813.69,"N","No","3"
"Department of Transportation","069-2020/2021-0700-000","Safety and Operations, Federal Railroad Administration, Transportation","069-0700","Transportation",250000,220318.61,29681.39,-220318.61,"N","No","3"
"Department of Transportation","069-2020/2021-1712-000","State Maritime Academy Operations, Maritime Administration, Transportation","069-1712","Transportation",1000000,1000000,0,-1000000,"N","No","3"
"Department of Transportation","069-X-2812-000","Transit Infrastructure Grants, Federal Transit Administration, Transportation","069-2812","Transportation",25000000000,23302261526.84,1697738473.16,-11965667661.89,"N","No","3"
"Department of Transportation","069-X-1774-000","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation","069-1774","Transportation",492000000,492000000,0,-492000000,"N","No","3"
"Department of Transportation","069-X-1775-000","National Network Grants to the National Railroad Passenger Corporation, Transportation","069-1775","Transportation",526000000,526000000,0,-526000000,"N","No","3"
"Department of Transportation","069-X-5423-000","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation","069-5423","Transportation",56000000,0,56000000,0,"N","No","3"
"Department of Transportation","069-X-8106-000","Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation","069-8106","Transportation",10000000000,9358759790.38,641240209.62,-3133926648.25,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0152-000","Medical Support and Compliance, Veterans Health Administration, Veterans Affairs","036-0152","Veterans Benefits and Services",250000000,77456332.08,172543667.92,-39644530.14,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0167-000","Information Technology Systems, Departmental Administration, Veterans Affairs","036-0167","Veterans Benefits and Services",2150000000,1176062290.1,973937709.9,-588947120.05,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0160-000","Medical Services, Veterans Health Administration, Veterans Affairs","036-0160","Veterans Benefits and Services",14282000000,3893571399.85,10388428600.15,-2693824111.39,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0160-000","Medical Services, Veterans Health Administration, Veterans Affairs","036-0160","Veterans Benefits and Services",30000000,30000000,0,-20940100.12,"M","No","2"
"Department of Veterans Affairs","036-2020/2021-0162-000","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs","036-0162","Veterans Benefits and Services",606000000,312795625.33,293204374.67,-201503776.32,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0142-000","General Administration, Departmental Administration, Veterans Affairs","036-0142","Veterans Benefits and Services",6000000,1660493,4339507,-780220.82,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0170-000","Office of Inspector General, Departmental Administration, Veterans Affairs","036-0170","Veterans Benefits and Services",12500000,10198825.55,2301174.45,-6444087.59,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0140-000","Medical Community Care, Veterans Health Administration, Veterans Affairs ","036-0140","Veterans Benefits and Services",2100000000,1968868436.72,131131563.28,-1968818467.71,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0140-000","Medical Community Care, Veterans Health Administration, Veterans Affairs","036-0140","Veterans Benefits and Services",30000000,0,30000000,0,"M","No","2"
"Department of Veterans Affairs","036-2020/2021-0181-000","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs","036-0181","Veterans Benefits and Services",150000000,0,150000000,0,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0151-000","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs","036-0151","Veterans Benefits and Services",13000000,9786128.83,3213871.17,-9493525.28,"N","No","3"
"Election Assistance Commission","525-2020/2020-1651-000","Election Reform Programs, Election Assistance Commission","525-1651","General Government",400000000,400000000,0,-397205287,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0110-000","Buildings and Facilities, Environmental Protection Agency ","068-0110","Natural Resources and Environment",300000,0,300000,0,"N","No","3"
"Environmental Protection Agency","068-2020/2021-8145-000","Hazardous Substance Superfund, Environmental Protection Agency","068-8145","Natural Resources and Environment",770000,83244.99,686755.01,-83244.99,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0107-000","Science and Technology, Environmental Protection Agency","068-0107","Natural Resources and Environment",2250000,1588513.93,661486.07,-89257.93,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0108-000","Environmental Programs and Management, Environmental Protection Agency","068-0108","Natural Resources and Environment",3910000,1888159.14,2021840.86,-1689607.61,"N","No","3"
"Federal Communications Commission","027-X-0100-000","Salaries and Expenses, Federal Communications Commission","027-0100","Commerce and Housing Credit",200000000,200000000,0,-36981825.98,"N","No","3"
"General Services Administration","047-X-4542-001","Federal Buildings Fund, General Services Administration","047-4542","General Government",275000000,45565052.07,229434947.93,-28818875.57,"N","No","3"
"General Services Administration","047-X-4549-001","Federal Citizen Services Fund, General Services Administration","047-4549","Commerce and Housing Credit",18650000,13003033.8,5646966.2,-4373170.71,"N","No","3"
"General Services Administration","047-X-4540-001","Working Capital Fund, General Services Administration","047-4540","General Government",1500000,841526.43,658473.57,-255393.07,"N","No","3"
"Inst of American Indian & Alaska Native Culture & Arts Development","373-2020/2021-2900-000","Payment to the Institute, Institute of American Indian and Alaska Native Culture and Arts Development","373-2900","Education, Training, Employment, and Social Services",78000,78000,0,-78000,"N","No","3"
"INSTITUTE OF MUSEUM AND LIBRARY SERVICES","474-2020/2021-0301-000","Office of Museum and Library Services: Grants and Administration, Institute of Museum and Library Services ","474-0301","Education, Training, Employment, and Social Services",50000000,45426644.4,4573355.6,-6124095.86,"N","No","3"
"John F. Kennedy Center for Performing Arts","033-2020/2021-0302-000","Operations and Maintenance, John F. Kennedy Center for the Performing Arts","033-0302","Education, Training, Employment, and Social Services",25000000,2000000,23000000,-16926426.76,"N","No","3"
"Judiciary Branch","010-2020/2020-0920-000","Salaries and Expenses, Courts of Appeals, District Courts, and Other Judicial Services, The Judiciary","010-0920","Administration of Justice",6000000,6000000,0,-6000000,"N","No","3"
"Judiciary Branch","010-X-0923-000","Defender Services, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary","010-0923","Administration of Justice",1000000,1000000,0,-1000000,"N","No","3"
"National Aeronautics & Space Administration","080-2020/2021-0122-000","Safety, Security and Missions Services, National Aeronautics and Space Administration","080-0122","General Science, Space, and Technology",60000000,40028781.27,19971218.73,-13553961.82,"N","No","3"
"National Archives & Records Administration","088-2020/2021-0300-000","Operating Expenses, National Archives and Records Administration","088-0300","General Government",8100000,5767402.41,2332597.59,-1511843.97,"N","No","3"
"NATIONAL ENDOWMENT FOR THE HUMANITIES","418-2020/2021-0200-000","Grants and Administration, National Endowment for the Humanities, National Foundation on the Arts and Humanities ","418-0200","Education, Training, Employment, and Social Services",75000000,67570580,7429420,-26301103.72,"N","No","3"
"NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES","417-2020/2021-0100-000","Grants and Administration, National Endowment for the Arts, National Foundation on the Arts and Humanities","417-0100","Education, Training, Employment, and Social Services",75000000,74316100,683900,-23242727.04,"N","No","3"
"National Science Foundation","049-2020/2021-0106-000","Education and Human Resources, National Science Foundation","049-0106","General Science, Space, and Technology",5000000,5000000,0,-1124345.16,"N","No","3"
"National Science Foundation","049-2020/2020-0180-000","Agency Operations and Award Management, National Science Foundation","049-0180","General Science, Space, and Technology",1000000,1000000,0,-100187.21,"N","No","3"
"National Science Foundation","049-2020/2021-0100-000","Research and Related Activities, National Science Foundation","049-0100","General Science, Space, and Technology",70000000,70000000,0,-15923799.28,"N","No","3"
"Nuclear Regulatory Commission","031-2020/2021-0200-000","Salaries and Expenses, Nuclear Regulatory Commission","031-0200","Energy",0,3300000,-3300000,-1624622.18,"N","No","3"
"Office of Personnel Management","024-2020/2021-0100-000","Salaries and Expenses, Office of Personnel Management","024-0100","General Government",12100000,10894900.38,1205099.62,-5457738.41,"N","No","3"
"Peace Corps","011-2020/2022-0100-000","Peace Corps, Funds Appropriated to the President","011-0100","International Affairs",88000000,67352567.9,20647432.1,-62512619.44,"N","No","3"
"RAILROAD RETIREMENT BOARD","060-X-0117-000","Railroad Unemployment Insurance Extended Benefits Payments, Railroad Retirement Board","060-0117","Income Security",132871362.01,13552523.3,119318838.71,-12713804.4,"O","No","3"
"RAILROAD RETIREMENT BOARD","060-2020/2021-8237-000","Limitation on Administration, Railroad Retirement Board","060-8237","Income Security",5000000,4130099.22,869900.78,-783486.88,"N","No","3"
"Small Business Administration","073-2020/2024-0200-000","Office of Inspector General, Small Business Administration","073-0200","Commerce and Housing Credit",25000000,16119.68,24983880.32,-14668.31,"O","No","3"
"Small Business Administration","073-2020/2021-0400-000","Entrepreneurial Development Programs, Small Business Administration","073-0400","Commerce and Housing Credit",265000000,256674456.2,8325543.8,-60411423.64,"O","No","3"
"Small Business Administration","073-2020/2021-0500-000","Emergency EIDL Grants, Small Business Administration","073-0500","Commerce and Housing Credit",10000000000,9991520225.45,8479774.55,-9973859225.45,"O","No","3"
"Small Business Administration","073-X-0500-000","Emergency EIDL Grants, Small Business Administration","073-0500","Commerce and Housing Credit",10000000000,9965795221.95,34204778.05,-9737501221.95,"P","No","3.5"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",20000000,20000000,0,-20000000,"L","Yes","1"
"Small Business Administration","073-2020/2021-0100-000","Salaries and Expenses, Small Business Administration","073-0100","Commerce and Housing Credit",2100000000,95071159.29,2004928840.71,-89754337.04,"P","No","3.5"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",562000000,562000000,0,-562000000,"N","Yes","3"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",50000000000,25101240269.06,24898759730.94,-23293564171.64,"P","Yes","3.5"
"Small Business Administration","073-2020/2021-0100-000","Salaries and Expenses, Small Business Administration","073-0100","Commerce and Housing Credit",675000000,452491092.38,222508907.62,-326290130.9,"O","No","3"
"Smithsonian Institution","033-2020/2021-0100-000","Salaries and Expenses, Smithsonian Institution","033-0100","Education, Training, Employment, and Social Services",7500000,6636997.19,863002.81,-4349190.23,"N","No","3"
"Social Security Administration","028-2020/2021-8704-000","Salaries and Expenses, Social Security Administration","028-8704","Social Security",300000000,276041655.72,23958344.28,-265527871.21,"N","No","3"
"Social Security Administration","028-2020/2021-8704-000","Salaries and Expenses, Social Security Administration","028-8704","Social Security",38000000,35169475.93,2830524.07,-30176644.58,"O","No","3"
"Small Business Administration","073-2020/2021-1154-000","Business Loans Program Account, Small Business Administration","073-1154","Commerce and Housing Credit",321335000000,252524395526.362,68810604473.6385,-249508896015.748,"O","Yes","3.5"
"Small Business Administration","073-2020/2021-1154-000","Business Loans Program Account, Small Business Administration","073-1154","Commerce and Housing Credit",366000000000,287624842493.498,78375157506.5016,-284190193853.032,"O","Yes","3"
