"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Department of Housing & Urban Development","086-X-0162-000","Community Development Fund, Community Planning and Development, Housing and Urban Development","086-0162","Community and Regional Development",1677500000,336521000,1340979000,0,"N","No","3"
"Department of Housing & Urban Development","086-2020/2021-0479-000","Program Offices, Management and Administration, Housing and Urban Development","086-0479","Income Security",15000000,29137.79,14970862.21,-14870.52,"N","No","3"
"Department of Justice","015-X-0134-000","Justice Information Sharing Technology, General Administration, Justice","015-0134","Administration of Justice",2000000,940364.98,1059635.02,-278148.4,"N","No","3"
"Department of Justice","015-2020/2020-0200-000","Salaries and Expenses, Federal Bureau of Investigation, Justice","015-0200","National Defense",20000000,15470788.93,4529211.07,-3693501.83,"N","No","3"
"Department of Justice","015-X-0328-000","Office of Inspector General, Justice","015-0328","Administration of Justice",2000000,1757650.73,242349.27,-1722214.55,"N","No","3"
"Department of Justice","015-X-0404-000","State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice","015-0404","Administration of Justice",850000000,847657553.23,2342446.77,-326258557.13,"N","No","3"
"Department of Justice","015-2020/2020-0322-000","Salaries and Expenses, United States Attorneys, Justice","015-0322","Administration of Justice",3000000,0,3000000,0,"N","No","3"
"Department of Justice","015-2020/2020-0324-000","Salaries and Expenses, United States Marshals Service, Justice","015-0324","Administration of Justice",15000000,12489998.36,2510001.64,-1137702.17,"N","No","3"
"Department of Justice","015-2020/2020-1100-000","Salaries and Expenses, Drug Enforcement Administration, Justice","015-1100","Administration of Justice",15000000,9953984.63,5046015.37,-7717448.35,"N","No","3"
"Department of Justice","015-2020/2020-1060-000","Salaries and Expenses, Federal Prison System, Justice","015-1060","Administration of Justice",0,100000000,-100000000,-72356841.95,"N","No","3"
"Department of Labor","016-2020/2022-0172-000","Program Administration, Employment and Training Administration, Labor","016-0172","Education, Training, Employment, and Social Services",4000000,150981.05,3849018.95,-107285.16,"N","No","3"
"Department of Labor","016-2020/2022-0174-000","Training and Employment Service, Employment and Training Administration, Labor","016-0174","Education, Training, Employment, and Social Services",345000000,249591640,95408360,-5559575,"N","No","3"
"Department of Labor","016-X-0168-000","Short Time Compensation Programs, Employment and Training Administration, Labor","016-0168","Income Security",1287750000,679855726,607894274,-15887143.28,"O","No","3"
"Department of Labor","016-X-1801-000","Federal Unemployment Compensation Program, Employment and Training Administration, Labor","016-1801","Income Security",292600000000,270111492371.27,22488507628.73,-267363208756.3,"O","No","3"
"Department of Labor","016-X-8042-000","Unemployment Trust Fund - Treasury Managed, Labor","016-8042","Income Security",93270000000,57299125655.51,35970874344.49,-55702372387.48,"O","No","3"
"Department of Labor","016-2020/2022-0400-000","Salaries and Expenses, Occupational Safety and Health Administration","016-0400","Health",5500000,3351488.27,2148511.73,-121478.95,"N","No","3"
"Department of Labor","016-2020/2022-1700-000","Salaries and Expenses, Employee Benefits Security Administration, Labor","016-1700","Income Security",1000000,170257.78,829742.22,-170257.78,"N","No","3"
"Department of Labor","016-X-0106-000","Office of the Inspector General, Departmental Management, Labor","016-0106","Education, Training, Employment, and Social Services",1000000,0,1000000,0,"N","No","3"
"Department of Labor","016-X-0106-000","Office of the Inspector General, Departmental Management, Labor","016-0106","Education, Training, Employment, and Social Services",25000000,1021113.46,23978886.54,-238464.6,"O","No","3"
"Department of Labor","016-2020/2022-0143-000","Salaries and Expenses, Wage and Hour Division, Labor","016-0143","Education, Training, Employment, and Social Services",2500000,2500000,0,0,"N","No","3"
"Department of Labor","016-2020/2022-0165-000","Salaries and Expenses, Departmental Management, Labor","016-0165","Education, Training, Employment, and Social Services",1000000,240795.25,759204.75,-159798.31,"N","No","3"
"Department of State","019-2020/2022-1031-000","Global Health Programs, State","019-1031","International Affairs",0,0,0,0,"L","No","1"
"Department of State","019-2020/2022-0113-000","Diplomatic and Consular Programs, State","019-0113","International Affairs",199000000,58942188.64,140057811.36,-39664058.8,"N","No","3"
"Department of State","019-X-0209-000","Educational and Cultural Exchange Programs, State","019-0209","International Affairs",5000000,0,5000000,0,"N","No","3"
"Department of State","019-X-1143-000","Migration and Refugee Assistance, State","019-1143","International Affairs",350000000,350000000,0,-292358738.8,"N","No","3"
"Department of State","019-X-5713-000","Consular and Border Security Programs, Administration of Foreign Affairs, State","019-5713","International Affairs",81000000,74207650.89,6792349.11,-68301814.05,"L","No","1"
"Department of State","019-X-1031-000","Global Health Programs, State","019-1031","International Affairs",0,0,0,0,"L","No","1"
"Department of State","019-072-2020/2022-1037-000","Economic Support Fund, Funds Appropriated to the President","072-1037","International Affairs",3700000,0,3700000,0,"L","No","1"
"Department of State","019-2020/2022-0113-000","Diplomatic and Consular Programs, State","019-0113","International Affairs",183000000,117244622.42,65755377.58,-62290371.65,"L","No","1"
"Department of State","019-X-5713-000","Consular and Border Security Programs, Administration of Foreign Affairs, State","019-5713","International Affairs",120000000,119214335.06,785664.94,-119184541.36,"N","No","3"
"Department of the Interior","014-2020/2021-0102-000","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",144600000,2165940.33,142434059.67,-844353.64,"N","No","3"
"Department of the Interior","014-2020/2021-0104-000","Salaries and Expenses, Office of the Inspector General, Interior","014-0104","Natural Resources and Environment",1000000,537965.71,462034.29,-460813.56,"N","No","3"
"Department of the Interior","014-2020/2021-0412-000","Assistance to Territories, Insular Affairs, Interior","014-0412","General Government",55000000,42627375,12372625,-1356397.33,"N","No","3"
"Department of the Interior","014-2020/2021-0680-000","Water and Related Resources, Bureau of Reclamation, Interior","014-0680","Natural Resources and Environment",12000000,4398067.91,7601932.09,-4281520.5,"N","No","3"
"Department of the Interior","014-2020/2021-0787-000","Central Utah Project Completion Account, Central Utah Project, Interior","014-0787","Natural Resources and Environment",500000,27507,472493,0,"N","No","3"
"Department of the Interior","014-2020/2021-2100-000","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","014-2100","Community and Regional Development",453000000,408279478.28,44720521.72,-365739838.91,"N","No","3"
"Department of the Interior","014-2020/2021-2106-000","Operation of Indian Education Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","014-2106","Education, Training, Employment, and Social Services",222750000,160471305.97,62278694.03,-147856972.38,"N","No","3"
"Department of the Interior","014-2020/2021-5065-000","Policy and Administration, Bureau of Reclamation, Interior","014-5065","Natural Resources and Environment",8100000,1692638.6,6407361.4,-1692638.6,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-011","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",3753000,1457575.49,2295424.51,-957382.64,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-016","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",3585000,1127929.43,2457070.57,-717484.65,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-001","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",265000,122340,142660,0,"N","No","3"
"Department of the Interior","014-014-2020/2021-0102-007","Departmental Operations, Office of the Secretary, Interior","014-0102","Natural Resources and Environment",5197000,1491759.84,3705240.16,-1102863.45,"N","No","3"
"Department of the Interior","014-075-2020/2021-1515-020","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services","075-1515","Income Security",33461097,33461097,0,-32810805.5,"N","No","3"
"Department of the Interior","014-075-2020/2021-1536-020","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","075-1536","Education, Training, Employment, and Social Services",679682,679682,0,-679682,"N","No","3"
"Department of the Treasury","020-2020/2022-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",0,0,0,0,"M","No","2"
"Department of the Treasury","020-2020/2021-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",299793520,112966983.53,186826536.47,-53776309.54,"O","No","3"
"Department of the Treasury","020-X-1894-000","Air Carrier Worker Support, Departmental Offices, Department of Treasury","020-1894","Transportation",32000000000,27298355310.62,4701644689.38,-26770571289.85,"O","Yes","3"
"Department of the Treasury","020-2020/2021-0913-000","Enforcement, Internal Revenue Service","020-0913","Administration of Justice",42000000,2235758.85,39764241.15,-2235758.85,"N","No","3"
"Department of the Treasury","020-2020/2021-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",148600000,94120800.23,54479199.77,-49395107.87,"N","No","3"
"Department of the Treasury","020-2020/2021-0151-000","Public Broadcasting Fund, Corporation for Public Broadcasting, Treasury","020-0151","Education, Training, Employment, and Social Services",75000000,75000000,0,-75000000,"N","No","3"
"Department of the Treasury","020-2020/2020-0501-000","Payment to the Legal Services Corporation, Legal Services Corporation","020-0501","Administration of Justice",50000000,50000000,0,-50000000,"N","No","3"
"Department of the Treasury","020-2020/2021-0913-000","Enforcement, Internal Revenue Service","020-0913","Administration of Justice",49776040,859060.6,48916979.4,-859060.6,"O","No","3"
"Department of the Treasury","020-2020/2021-0912-000","Taxpayer Services, Internal Revenue Service, Treasury","020-0912","General Government",59400000,56070051.78,3329948.22,-56070051.78,"N","No","3"
"Department of the Treasury","020-2020/2020-1892-000","Coronavirus Relief Fund, Departmental Offices, Treasury","020-1892","General Government",150000000000,149465791782.19,534208217.81,-149465791782.19,"O","No","3"
"Department of the Treasury","020-X-1893-000","Special Inspector General for Pandemic Recovery, Treasury","020-1893","Commerce and Housing Credit",25000000,251783.68,24748216.32,-185013.45,"O","No","3"
"Department of the Treasury","020-2020/2021-0520-000","Salaries and Expenses, Bureau of the Fiscal Service, Treasury","020-0520","General Government",78650000,12012885.01,66637114.99,-2191667.48,"O","No","3"
"Department of the Treasury","020-2020/2021-0101-000","Salaries and Expenses, Departmental Offices, Treasury","020-0101","General Government",25000000,62478.96,24937521.04,-38918.07,"O","No","3"
"Department of the Treasury","020-X-0106-000","Salaries and Expenses, Office of Inspector General, Treasury","020-0106","General Government",35000000,2209078.73,32790921.27,-429067.93,"O","No","3"
"Department of the Treasury","020-X-1771-000","Federal Payment for Emergency Planning and Security Costs in the District of Columbia, Treasury","020-1771","General Government",5000000,5000000,0,-5000000,"N","No","3"
"Department of the Treasury","020-X-1802-000","Financial Agent Services, Bureau of the Fiscal Service, Treasury","020-1802","General Government",8560000,7060000,1500000,-5515000,"O","No","3"
"Department of the Treasury","020-2020/2026-1889-000","Economic Stabilization Program Account, Departmental Offices, Treasury","020-1889","Commerce and Housing Credit",499975000000,30448241790.77,469526758209.23,-19181083772.83,"O","Yes","3"
"Department of the Treasury","020-X-0905-000","U.S. Coronavirus Payments, Internal Revenue Service, Treasury","020-0905","Income Security",282000000000,274249229788.65,7750770211.35,-274249229788.65,"O","No","3"
"Department of the Treasury","020-X-0936-000","U.S. Coronavirus Refundable Credits, Internal Revenue Service, Treasury","020-0936","Income Security",10000000000,758288065.42,9241711934.58,-758288065.42,"O","No","3"
"Department of the Treasury","020-2020/2021-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",151130440,111368121.98,39762318.02,-81873367.46,"O","No","3"
"Department of the Treasury","020-2020/2022-0919-000","Operations Support, Internal Revenue Service, Treasury","020-0919","General Government",15000000,14988400,11600,-1729661.36,"M","No","2"
"Department of Transportation","069-X-5423-000","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation","069-5423","Transportation",56000000,0,56000000,0,"N","No","3"
"Department of Transportation","069-X-0102-000","Salaries and Expenses, Office of the Secretary, Transportation","069-0102","Transportation",1753000,1649151,103849,-1649151,"N","No","3"
"Department of Transportation","069-X-2812-000","Transit Infrastructure Grants, Federal Transit Administration, Transportation","069-2812","Transportation",25000000000,22928915667.98,2071084332.02,-10232562600.45,"N","No","3"
"Department of Transportation","069-2020/2021-0700-000","Safety and Operations, Federal Railroad Administration, Transportation","069-0700","Transportation",250000,220318.61,29681.39,-125818.61,"N","No","3"
"Department of Transportation","069-X-8106-000","Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation","069-8106","Transportation",10000000000,8880009816.51,1119990183.49,-2192983214.08,"N","No","3"
"Department of Transportation","069-2020/2021-1750-000","Operations and Training, Maritime Administration, Transportation","069-1750","Transportation",3134000,2963001.44,170998.56,-1566442.35,"N","No","3"
"Department of Transportation","069-X-0130-000","Salaries and Expenses, Office of the Inspector General, Transportation","069-0130","Transportation",5000000,0,5000000,0,"N","No","3"
"Department of Transportation","069-X-1775-000","National Network Grants to the National Railroad Passenger Corporation, Transportation","069-1775","Transportation",526000000,526000000,0,-526000000,"N","No","3"
"Department of Transportation","069-2020/2021-1712-000","State Maritime Academy Operations, Maritime Administration, Transportation","069-1712","Transportation",1000000,1000000,0,-1000000,"N","No","3"
"Department of Transportation","069-X-1774-000","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation","069-1774","Transportation",492000000,492000000,0,-492000000,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0140-000","Medical Community Care, Veterans Health Administration, Veterans Affairs","036-0140","Veterans Benefits and Services",30000000,30000000,0,-30000000,"M","No","2"
"Department of Veterans Affairs","036-2020/2021-0142-000","General Administration, Departmental Administration, Veterans Affairs","036-0142","Veterans Benefits and Services",6000000,1294357.6,4705642.4,-375463.34,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0151-000","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs","036-0151","Veterans Benefits and Services",13000000,5250386.13,7749613.87,-4868454.17,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0140-000","Medical Community Care, Veterans Health Administration, Veterans Affairs ","036-0140","Veterans Benefits and Services",2100000000,1192813302.76,907186697.24,-1192487077,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0160-000","Medical Services, Veterans Health Administration, Veterans Affairs","036-0160","Veterans Benefits and Services",30000000,23794575.99,6205424.01,-23713447.35,"M","No","2"
"Department of Veterans Affairs","036-2020/2021-0162-000","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs","036-0162","Veterans Benefits and Services",606000000,180186444.21,425813555.79,-135333322.49,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0152-000","Medical Support and Compliance, Veterans Health Administration, Veterans Affairs","036-0152","Veterans Benefits and Services",100000000,51244884.27,48755115.73,-34401688.66,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0160-000","Medical Services, Veterans Health Administration, Veterans Affairs","036-0160","Veterans Benefits and Services",14432000000,2830802558.16,11601197441.84,-2100801533.5,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0181-000","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs","036-0181","Veterans Benefits and Services",150000000,0,150000000,0,"N","No","3"
"Department of Veterans Affairs","036-2020/2021-0167-000","Information Technology Systems, Departmental Administration, Veterans Affairs","036-0167","Veterans Benefits and Services",2150000000,963481124.74,1186518875.26,-460698739.09,"N","No","3"
"Department of Veterans Affairs","036-2020/2022-0170-000","Office of Inspector General, Departmental Administration, Veterans Affairs","036-0170","Veterans Benefits and Services",12500000,6864876.72,5635123.28,-5066347.9,"N","No","3"
"Election Assistance Commission","525-2020/2020-1651-000","Election Reform Programs, Election Assistance Commission","525-1651","General Government",400000000,398419395,1580605,-395688909,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0107-000","Science and Technology, Environmental Protection Agency","068-0107","Natural Resources and Environment",2250000,1580546.4,669453.6,-81290.4,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0108-000","Environmental Programs and Management, Environmental Protection Agency","068-0108","Natural Resources and Environment",3910000,1847014.55,2062985.45,-1661224.55,"N","No","3"
"Environmental Protection Agency","068-2020/2021-0110-000","Buildings and Facilities, Environmental Protection Agency ","068-0110","Natural Resources and Environment",300000,0,300000,0,"N","No","3"
"Environmental Protection Agency","068-2020/2021-8145-000","Hazardous Substance Superfund, Environmental Protection Agency","068-8145","Natural Resources and Environment",770000,77410.44,692589.56,-77410.44,"N","No","3"
"Federal Communications Commission","027-X-0100-000","Salaries and Expenses, Federal Communications Commission","027-0100","Commerce and Housing Credit",200000000,200000000,0,-17769186.23,"N","No","3"
"General Services Administration","047-X-4540-001","Working Capital Fund, General Services Administration","047-4540","General Government",1500000,793031.41,706968.59,-165191.75,"N","No","3"
"General Services Administration","047-X-4549-001","Federal Citizen Services Fund, General Services Administration","047-4549","Commerce and Housing Credit",18650000,11217722.07,7432277.93,-2305530.51,"N","No","3"
"General Services Administration","047-X-4542-001","Federal Buildings Fund, General Services Administration","047-4542","General Government",275000000,19162484.53,255837515.47,-11463050.62,"N","No","3"
"Inst of American Indian & Alaska Native Culture & Arts Development","373-2020/2021-2900-000","Payment to the Institute, Institute of American Indian and Alaska Native Culture and Arts Development","373-2900","Education, Training, Employment, and Social Services",78000,78000,0,-78000,"N","No","3"
"INSTITUTE OF MUSEUM AND LIBRARY SERVICES","474-2020/2021-0301-000","Office of Museum and Library Services: Grants and Administration, Institute of Museum and Library Services ","474-0301","Education, Training, Employment, and Social Services",50000000,31488232.9,18511767.1,-5333072.5,"N","No","3"
"John F. Kennedy Center for Performing Arts","033-2020/2021-0302-000","Operations and Maintenance, John F. Kennedy Center for the Performing Arts","033-0302","Education, Training, Employment, and Social Services",25000000,2000000,23000000,-12025283.73,"N","No","3"
"National Aeronautics & Space Administration","080-2020/2021-0122-000","Safety, Security and Missions Services, National Aeronautics and Space Administration","080-0122","General Science, Space, and Technology",60000000,30816183.94,29183816.06,-9741375.58,"N","No","3"
"National Archives & Records Administration","088-2020/2021-0300-000","Operating Expenses, National Archives and Records Administration","088-0300","General Government",8100000,3396016.56,4703983.44,-971209.21,"N","No","3"
"NATIONAL ENDOWMENT FOR THE HUMANITIES","418-2020/2021-0200-000","Grants and Administration, National Endowment for the Humanities, National Foundation on the Arts and Humanities ","418-0200","Education, Training, Employment, and Social Services",75000000,67501103,7498897,-22583240.91,"N","No","3"
"NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES","417-2020/2021-0100-000","Grants and Administration, National Endowment for the Arts, National Foundation on the Arts and Humanities","417-0100","Education, Training, Employment, and Social Services",75000000,74316100,683900,-17512519.09,"N","No","3"
"National Science Foundation","049-2020/2021-0100-000","Research and Related Activities, National Science Foundation","049-0100","General Science, Space, and Technology",70000000,70000000,0,-11053147.9,"N","No","3"
"National Science Foundation","049-2020/2021-0106-000","Education and Human Resources, National Science Foundation","049-0106","General Science, Space, and Technology",5000000,4999266,734,-715929.27,"N","No","3"
"National Science Foundation","049-2020/2020-0180-000","Agency Operations and Award Management, National Science Foundation","049-0180","General Science, Space, and Technology",1000000,349060.95,650939.05,-11661.2,"N","No","3"
"Nuclear Regulatory Commission","031-2020/2021-0200-000","Salaries and Expenses, Nuclear Regulatory Commission","031-0200","Energy",0,2330295.16,-2330295.16,-850270.87,"N","No","3"
"Office of Personnel Management","024-2020/2021-0100-000","Salaries and Expenses, Office of Personnel Management","024-0100","General Government",12100000,10723400.4,1376599.6,-3769155.75,"N","No","3"
"Peace Corps","011-2020/2022-0100-000","Peace Corps, Funds Appropriated to the President","011-0100","International Affairs",88000000,53854868.48,34145131.52,-50028591.97,"N","No","3"
"RAILROAD RETIREMENT BOARD","060-X-0117-000","Railroad Unemployment Insurance Extended Benefits Payments, Railroad Retirement Board","060-0117","Income Security",133416822.2,12903754.95,120513067.25,-11587890.07,"O","No","3"
"RAILROAD RETIREMENT BOARD","060-2020/2021-8237-000","Limitation on Administration, Railroad Retirement Board","060-8237","Income Security",5000000,1429233.93,3570766.07,-457623.41,"N","No","3"
"Small Business Administration","073-2020/2021-0100-000","Salaries and Expenses, Small Business Administration","073-0100","Commerce and Housing Credit",675000000,427958731.88,247041268.12,-308538312.72,"O","No","3"
"Small Business Administration","073-2020/2021-0500-000","Emergency EIDL Grants, Small Business Administration","073-0500","Commerce and Housing Credit",10000000000,9992280987,7719013,-9974650987,"O","No","3"
"Small Business Administration","073-2020/2021-0100-000","Salaries and Expenses, Small Business Administration","073-0100","Commerce and Housing Credit",2100000000,94924038.29,2005075961.71,-88903767.07,"P","No","3.5"
"Small Business Administration","073-2020/2024-0200-000","Office of Inspector General, Small Business Administration","073-0200","Commerce and Housing Credit",25000000,14668.31,24985331.69,-14424.48,"O","No","3"
"Small Business Administration","073-2020/2021-0400-000","Entrepreneurial Development Programs, Small Business Administration","073-0400","Commerce and Housing Credit",265000000,255328536.1,9671463.9,-58925270.53,"O","No","3"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",0,562000000,-562000000,-562000000,"N","Yes","3"
"Small Business Administration","073-X-0500-000","Emergency EIDL Grants, Small Business Administration","073-0500","Commerce and Housing Credit",10000000000,9969762577.9,30237422.1,-9745092577.9,"P","No","3.5"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",0,20000000,-20000000,-20000000,"L","Yes","1"
"Small Business Administration","073-X-1152-000","Disaster Loans Program Account, Small Business Administration","073-1152","Community and Regional Development",50000000000,24597650121.14,25402349878.86,-22585159864.48,"P","Yes","3.5"
"Smithsonian Institution","033-2020/2021-0100-000","Salaries and Expenses, Smithsonian Institution","033-0100","Education, Training, Employment, and Social Services",7500000,6125486.5,1374513.5,-3256134.35,"N","No","3"
"Social Security Administration","028-2020/2021-8704-000","Salaries and Expenses, Social Security Administration","028-8704","Social Security",38000000,30836783.33,7163216.67,-30836783.33,"O","No","3"
"Social Security Administration","028-2020/2021-8704-000","Salaries and Expenses, Social Security Administration","028-8704","Social Security",300000000,266673731.48,33326268.52,-262585781.29,"N","No","3"
"Small Business Administration","073-2020/2021-1154-000","Business Loans Program Account, Small Business Administration","073-1154","Commerce and Housing Credit",321335000000,252608714429.123,68726285570.8769,-248389676411.474,"O","Yes","3.5"
"Small Business Administration","073-2020/2021-1154-000","Business Loans Program Account, Small Business Administration","073-1154","Commerce and Housing Credit",366000000000,287720881575.487,78279118424.5132,-282915404691.676,"O","Yes","3"
